I am 18+ and consent to take part. I understand anomymised data will be published openly,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life? ",I have a clear understanding of my core personal values. ,I can easily explain what matters most to me. ,My values rarely change over time. ,I feel confident in what I believe is right for me. ,Which of the following best represent your top three personal values? (select up to 3),What matters most to you in life?  ,My life feels meaningful. ,I feel fulfilled by how I spend my time. ,I have a clear sense of direction in my life. ,I often feel unsure about what I truly want in life. ,I feel motivated about my future. ,My daily behaviour reflects my values. ,I often behave in ways that conflict with what’s important to me. ,"I often know what I should do, but I struggle to follow through in real life ",I struggle to be the person I want to be. ,Which areas of your life feel least aligned with your values? (select all that apply),  I have felt cheerful and in good spirits.  ,I have felt calm and relaxed. ,I have felt active and vigorous. ,I woke up feeling fresh and rested. ,My daily life has been filled with things that interest me. ,I trust myself to make good decisions. ,I feel easily influenced by other people’s opinions. ,I doubt myself even when I know what I truly value. ,I find it difficult to follow my internal compass. ,Digital noise makes it harder to focus on what matters. ,I often feel distracted from my values by online content. ,"I often feel reactive, distracted, or pulled away from the person I want to become. ",AI tools sometimes influence how I think about decisions. ,I prefer to rely on my own judgement rather than AI suggestions. ,I worry that AI could push society away from meaningful things.  ,AI should be trained to reflect core human values. ,Understanding what humans value is important for future AI systems. ,Which values do you believe AI systems should reflect? (select up 3),What is your age group?,Which of the following best describes your current work status? ,What is your highest level of education? ,Country of residence,Which of the following best describes your gender?,How would you describe your general emotional wellbeing?  
Yes,Very often,7,7,7,7,"Family, Honesty / Integrity, Health",My wife and dog,7,5,6,2,6,6,2,2,2,Finances,4,5,4,5,5,6,2,2,1,2,1,1,5,5,1,6,6,"Empathy, Non-harm, Accountability",35 - 44,Employed full time,Bachelor’s degree,UK,Man,7
Yes,Occasionally,6,5,6,6,"Family, Honesty / Integrity, Health",family ,4,5,4,5,4,5,3,4,2,Work / career,3,4,4,2,2,5,2,5,3,3,3,3,2,6,4,4,5,"Honesty, Fairness, Respect",55 - 65,Employed part-time,Some university/college,UK,Woman,4
Yes,Occasionally,6,6,6,6,"Family, Health, Independence",Family and health ,3,4,4,4,4,5,2,2,2,"Health, Relationships, Finances",3,3,3,2,2,5,2,2,2,6,6,3,1,7,6,6,6,"Honesty, Empathy, Respect",25 - 34,Employed full time,Postgraduate degree,UK,Woman,4
Yes,Occasionally,5,7,7,7,"Family, Honesty / Integrity, Creativity",m family being happy,5,5,3,6,4,5,1,4,5,"Health, Time / focus, Work / career, Digital habits",2,3,1,2,2,5,7,5,3,7,4,5,2,4,6,7,7,"Honesty, Empathy, Human wellbeing",35 - 44,Not currently working,High school,UK,Woman,3
Yes,Occasionally,6,6,6,7,"Family, Honesty / Integrity, Compassion",That my children are happy and secure,6,5,5,1,4,7,2,4,3,"Health, Time / focus",4,4,1,1,3,6,4,3,3,3,3,4,2,5,7,7,7,"Honesty, Human wellbeing, Non-harm",Over 65,Not currently working,Bachelor’s degree,UK,Man,6
Yes,Sometimes,6,7,7,6,"Family, Security / Stability, Independence",My family,6,6,5,2,6,6,2,4,4,Digital habits,4,4,3,3,4,5,5,3,3,5,5,3,1,7,6,7,7,"Honesty, Non-harm, Accountability",Over 65,Employed part-time,High school,UK,Woman,5
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Security / Stability",Family and them being healthy and happy,4,4,3,2,2,6,2,6,5,"Health, Finances",4,4,2,3,3,6,2,2,1,2,2,3,2,6,3,4,5,"Honesty, Respect, Transparency",35 - 44,Employed part-time,Bachelor’s degree,Canada,Woman,5
Yes,Everyday,6,6,3,6,"Health, Independence, Adventure",Health,5,4,3,4,5,4,3,5,6,"Time / focus, Relationships, Work / career, Digital habits, Finances, Purpose / direction",4,4,2,4,3,4,5,2,5,6,5,5,6,4,4,6,4,"Honesty, Non-harm, Accountability",25 - 34,Employed part-time,Bachelor’s degree,Canada,Man,5
Yes,Everyday,6,5,3,6,"Family, Honesty / Integrity, Compassion",Making sure my family is being taken care of,5,6,5,2,5,7,1,2,1,Finances,4,4,3,4,5,6,2,2,2,1,1,1,7,4,3,6,4,"Respect, Transparency, Accountability",55 - 65,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Sometimes,6,5,4,6,"Family, Honesty / Integrity, Creativity",My family and personal creativity.,5,3,4,5,6,2,7,6,7,"Time / focus, Work / career, Finances",4,3,3,2,5,5,2,6,7,4,5,6,1,7,6,5,7,"Honesty, Non-harm, Transparency",25 - 34,Employed part-time,High school,Canada,Man,5
Yes,Sometimes,7,7,7,6,"Family, Honesty / Integrity, Health",Family,5,5,3,2,3,6,1,3,3,Health,4,4,1,1,3,6,5,5,2,4,6,3,4,6,6,6,6,"Empathy, Non-harm, Transparency",55 - 65,Not currently working,Bachelor’s degree,UK,Woman,5
Yes,Never,7,6,6,7,"Achievement / Growth, Compassion, Creativity",That everyone feels they're valued.,5,6,6,4,6,6,3,4,5,"Digital habits, Finances",4,4,3,5,4,6,2,1,4,6,5,5,1,7,6,3,4,"Fairness, Transparency",25 - 34,Employed part-time,Some university/college,UK,Woman,6
Yes,Rarely,5,4,7,6,"Honesty / Integrity, Responsibility",My dog and my sister,3,5,4,6,5,4,2,3,3,"Work / career, Purpose / direction",4,2,2,1,3,6,3,4,2,3,3,3,3,6,4,2,3,Transparency,18 - 24,Not currently working,Some university/college,New Zealand,Woman,3
Yes,Often,5,5,6,6,"Family, Honesty / Integrity, Compassion",Family,5,4,3,5,4,4,3,4,5,"Time / focus, Digital habits, Finances",3,3,2,2,3,6,3,2,2,5,5,5,5,5,6,6,6,"Honesty, Non-harm, Transparency",35 - 44,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Sometimes,3,3,5,5,"Family, Honesty / Integrity, Security / Stability",financial stability ,2,2,3,1,3,4,6,7,6,"Health, Relationships",2,3,3,1,2,5,3,4,5,4,6,6,2,4,6,7,6,"Honesty, Respect, Human wellbeing",45 - 54,Employed full time,High school,UK,Man,3
Yes,Sometimes,6,7,6,7,"Family, Honesty / Integrity, Health",family,6,6,6,2,6,7,7,4,2,Digital habits,5,5,5,3,5,7,4,2,2,6,6,3,5,7,7,7,7,Non-harm,55 - 65,Employed part-time,High school,US,Woman,7
Yes,Often,5,5,6,6,"Family, Security / Stability, Independence",my family ,3,3,2,5,2,4,3,6,6,"Health, Work / career, Purpose / direction",2,1,2,2,2,4,4,5,5,5,3,5,4,5,5,5,6,"Honesty, Responsibility, Non-harm",55 - 65,Employed part-time,Bachelor’s degree,UK,Woman,2
Yes,Occasionally,6,6,5,6,"Family, Honesty / Integrity, Independence",Family,6,5,6,2,5,6,3,5,3,Work / career,4,4,4,2,3,6,2,3,3,5,4,3,5,5,5,6,6,"Honesty, Human wellbeing, Transparency",55 - 65,Self-employed / freelance,High school,Canada,Man,6
Yes,Occasionally,5,3,5,6,"Honesty / Integrity, Security / Stability, Independence",Freedom,3,2,1,7,3,2,5,4,7,"Health, Time / focus, Relationships, Work / career, Digital habits, Finances, Purpose / direction",2,2,2,2,2,2,2,5,5,7,5,6,3,4,5,4,6,"Honesty, Fairness, Non-harm",45 - 54,Employed full time,Postgraduate degree,UK,Woman,3
Yes,Everyday,5,6,6,6,"Family, Security / Stability, Responsibility",Family ,5,4,4,3,4,5,2,2,2,"Time / focus, Digital habits",3,3,3,2,2,5,4,3,2,5,4,3,4,3,4,4,5,"Empathy, Responsibility, Human wellbeing",45 - 54,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Occasionally,6,6,6,6,"Family, Security / Stability, Health",My family ,6,6,6,2,6,6,2,2,2,None,4,5,4,4,4,6,2,6,2,5,2,2,3,6,5,4,6,"Honesty, Responsibility, Non-harm",55 - 65,Employed part-time,Bachelor’s degree,UK,Woman,6
Yes,Often,6,6,6,6,"Family, Honesty / Integrity, Achievement / Growth",My family ,6,5,6,3,6,6,2,3,3,Health,4,2,2,3,4,6,3,4,2,5,3,3,3,5,5,4,5,"Honesty, Respect, Responsibility",35 - 44,Employed full time,High school,UK,Woman,5
Yes,Often,5,5,3,4,"Family, Security / Stability, Responsibility",My family - especially my children,5,5,5,5,4,5,3,6,5,"Health, Relationships, Digital habits",3,3,2,2,3,6,4,4,4,6,5,5,5,4,3,4,5,"Honesty, Fairness, Non-harm",35 - 44,Employed full time,Postgraduate degree,Ireland,Woman,5
Yes,Occasionally,6,5,5,4,"Family, Security / Stability, Compassion",My children being safe,6,4,4,5,4,4,3,6,6,Time / focus,4,3,2,1,3,3,5,7,6,4,3,5,3,7,7,4,5,"Honesty, Non-harm, Transparency",45 - 54,Employed full time,Postgraduate degree,UK,Woman,5
Yes,Everyday,7,7,7,7,"Honesty / Integrity, Creativity, Faith / Spirituality",Being completely independent and off the grid. My faith in good. ,7,7,7,1,7,7,1,4,4,"Health, Relationships, Finances",4,4,5,3,5,6,3,7,2,6,3,4,6,3,3,7,7,"Empathy, Human wellbeing, Transparency",35 - 44,Employed part-time,Some university/college,US,Man,6
Yes,Everyday,7,7,7,6,"Family, Honesty / Integrity, Health","Staying healthy, connected, and enjoying meaningful time with the people I love.",7,7,7,1,7,7,1,1,1,"Health, Relationships, Work / career, Finances, Purpose / direction",4,4,4,4,4,7,1,1,1,1,1,1,1,7,4,7,7,"Honesty, Fairness, Human wellbeing",Over 65,Employed full time,Bachelor’s degree,US,Woman,7
Yes,Occasionally,6,5,5,6,"Family, Honesty / Integrity, Security / Stability",My daughter,6,6,6,2,6,6,2,5,3,Digital habits,4,4,4,4,4,6,2,2,2,5,5,6,5,6,5,6,6,"Human wellbeing, Transparency, Accountability",25 - 34,Employed full time,Bachelor’s degree,UK,Man,5
Yes,Everyday,7,7,5,6,"Family, Creativity, Responsibility",My daughter,6,5,5,3,5,6,6,5,6,"Health, Time / focus, Work / career",2,2,3,1,3,5,2,2,2,5,3,4,5,4,5,5,5,"Honesty, Non-harm, Transparency",25 - 34,Not currently working,Some university/college,UK,Woman,3
Yes,Rarely,6,5,6,6,"Honesty / Integrity, Health, Independence",Honesty / Integrity with others.,4,4,3,5,4,6,2,4,3,"Relationships, Digital habits, Purpose / direction",4,4,2,3,2,6,4,3,2,6,6,4,1,7,6,5,6,"Empathy, Human wellbeing, Transparency",35 - 44,Employed full time,High school,US,Man,5
Yes,Rarely,5,4,6,5,"Compassion, Creativity, Community / Contribution",My comrades,2,3,1,7,2,4,3,7,7,"Health, Time / focus, Work / career, Digital habits, Finances, Purpose / direction",3,3,1,2,3,3,5,6,5,5,6,6,2,7,6,4,7,"Human wellbeing, Non-harm, Accuracy",18 - 24,Not currently working,High school,Canada,Man,3
Yes,Everyday,6,6,6,7,"Family, Health, Adventure",My son,7,6,6,1,6,6,2,2,2,"Health, Time / focus, Work / career",4,4,5,4,4,7,1,2,1,4,3,2,3,6,4,5,5,"Honesty, Fairness, Responsibility",55 - 65,Employed full time,Bachelor’s degree,Canada,Woman,6
Yes,Often,7,7,7,6,"Family, Honesty / Integrity, Compassion",My family and being kind to people,7,7,6,1,6,5,1,2,1,None,4,5,4,4,5,6,3,1,2,4,1,1,3,4,4,6,6,"Honesty, Empathy, Non-harm",55 - 65,Not currently working,Some university/college,UK,Woman,6
Yes,Sometimes,6,6,6,6,"Security / Stability, Health, Independence",Health,5,5,6,2,5,4,3,3,3,"Time / focus, Relationships, Digital habits, Purpose / direction",4,4,4,4,3,7,2,2,3,5,5,5,5,7,5,6,6,"Human wellbeing, Non-harm, Accountability",35 - 44,Employed full time,High school,Canada,Man,6
Yes,Sometimes,6,6,5,7,"Family, Honesty / Integrity, Compassion",my family,3,2,2,5,1,6,2,3,3,None,2,1,2,2,2,2,3,3,2,5,2,2,2,7,7,7,7,"Responsibility, Human wellbeing, Non-harm",45 - 54,Employed part-time,Bachelor’s degree,Canada,Woman,2
Yes,Occasionally,6,5,5,5,"Honesty / Integrity, Creativity, Responsibility",Love and happiness,4,3,4,6,4,4,5,6,5,"Digital habits, Finances",3,2,3,1,3,6,3,4,5,6,4,3,3,6,5,6,6,"Honesty, Responsibility, Non-harm",45 - 54,Not currently working,Some university/college,UK,Man,4
Yes,Often,6,6,6,6,"Family, Honesty / Integrity, Responsibility",Family,6,6,6,1,6,6,2,2,2,None,4,4,4,3,3,6,2,2,2,2,1,2,4,5,4,6,6,"Honesty, Empathy, Transparency",55 - 65,Employed full time,Postgraduate degree,UK,Man,6
Yes,Occasionally,5,5,3,5,"Honesty / Integrity, Compassion, Community / Contribution",Caring for those who suffer.,1,1,1,5,1,2,6,7,7,"Health, Time / focus, Relationships, Work / career, Finances, Purpose / direction",2,2,2,2,2,2,3,6,7,5,5,7,2,7,6,5,5,"Empathy, Human wellbeing, Non-harm",35 - 44,Not currently working,Some university/college,US,Man,1
Yes,Often,7,6,6,7,"Family, Health, Faith / Spirituality",Family,7,7,7,1,7,7,1,2,3,Time / focus,5,5,3,5,5,7,2,1,1,5,4,2,3,5,6,7,7,"Empathy, Fairness, Non-harm",25 - 34,Employed part-time,Bachelor’s degree,UK,Woman,6
Yes,Occasionally,5,6,7,6,"Honesty / Integrity, Security / Stability, Health",Feeling safe ,4,5,4,3,2,4,4,5,7,"Time / focus, Relationships, Work / career",2,3,1,1,3,4,4,7,6,7,5,7,3,7,7,5,5,"Empathy, Fairness, Non-harm",45 - 54,Employed full time,Some university/college,UK,Woman,3
Yes,Very often,7,7,2,7,"Family, Honesty / Integrity, Independence","Trust, honesty and family ",6,6,7,1,7,7,2,1,1,Faith and spirituality ,4,5,4,4,5,7,3,1,1,3,4,1,5,7,6,7,7,"Honesty, Fairness, Accountability",55 - 65,Employed full time,Postgraduate degree,UK,Man,7
Yes,Everyday,7,7,5,7,"Honesty / Integrity, Achievement / Growth, Compassion",Being a good person,2,2,3,2,7,7,1,3,3,"Health, Work / career",2,2,2,2,4,5,2,2,1,7,1,3,7,4,7,7,7,"Honesty, Empathy, Respect",25 - 34,Self-employed / freelance,Bachelor’s degree,UK,Man,3
Yes,Often,6,6,5,6,"Family, Honesty / Integrity, Health",My family matters the most to me,6,5,5,1,6,5,1,1,1,None,4,4,4,4,4,6,3,3,1,4,3,3,4,4,2,4,5,"Honesty, Fairness, Transparency",45 - 54,Employed full time,Bachelor’s degree,US,Man,6
Yes,Everyday,7,7,5,7,"Family, Health, Faith / Spirituality","My happiness/contentment. I believe when i am happy and content, I can give it to those around me also.",7,7,6,3,7,7,2,1,1,"Health, Work / career, Finances",4,4,3,4,4,7,1,1,1,4,3,1,6,5,5,6,7,"Empathy, Responsibility, Human wellbeing",25 - 34,Employed part-time,Some university/college,Canada,Woman,6
Yes,Rarely,7,7,1,7,"Family, Health, Responsibility",Health ,7,7,7,1,5,6,6,1,1,None,4,4,3,3,4,7,2,2,1,1,1,1,1,7,7,7,7,"Honesty, Responsibility, Accountability",Over 65,Not currently working,Less than high school,UK,Woman,7
Yes,Often,5,5,3,6,"Family, Health, Adventure",try to enjoy it eg will travel  and change things for the better asap,2,2,2,6,2,2,4,6,6,"Time / focus, Work / career, Digital habits",2,1,2,3,1,2,4,5,5,5,4,5,4,4,2,5,5,"Fairness, Responsibility, Accountability",55 - 65,Employed part-time,Less than high school,UK,Woman,2
Yes,Often,7,7,7,7,"Honesty / Integrity, Security / Stability, Compassion",My safety and that I am enjoying the journey of life.,7,6,7,1,7,6,1,1,1,"Health, Work / career, Digital habits",4,4,2,2,4,7,1,1,1,6,2,1,1,7,7,7,7,"Empathy, Human wellbeing, Transparency",55 - 65,Employed full time,Some university/college,Canada,Woman,7
Yes,Often,6,7,5,6,"Family, Health, Compassion",My physical and mental health being ok,3,4,3,6,4,6,2,4,4,"Work / career, Finances",3,3,2,2,2,4,7,5,3,4,3,4,4,6,6,4,6,"Honesty, Fairness, Non-harm",35 - 44,Self-employed / freelance,High school,UK,Woman,3
Yes,Often,6,6,5,6,"Family, Health, Adventure","Making sure my family are happy and safe, making the most of each day and being happy.",5,6,5,4,4,5,2,3,4,"Time / focus, Digital habits, Finances",4,3,4,2,4,6,2,3,3,5,4,4,2,6,5,5,5,"Honesty, Human wellbeing, Non-harm",45 - 54,Self-employed / freelance,Bachelor’s degree,UK,Woman,4
Yes,Everyday,7,7,7,7,"Honesty / Integrity, Compassion, Faith / Spirituality",God and my family,7,5,5,4,7,7,2,2,4,"Time / focus, Digital habits",4,4,3,2,4,7,1,1,1,2,5,4,5,6,1,7,7,"Honesty, Fairness, Non-harm",25 - 34,Not currently working,Postgraduate degree,US,Woman,5
Yes,Often,5,4,5,6,"Health, Independence, Adventure","Self preservation, independence and maintaining a sense of adventure",2,3,2,6,3,4,3,6,6,"Time / focus, Relationships, Work / career",3,3,3,2,2,4,2,5,5,6,4,5,3,5,5,4,6,"Responsibility, Non-harm, Accountability",45 - 54,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Often,5,5,7,7,"Family, Honesty / Integrity, Responsibility",Family ,6,7,7,1,6,7,7,5,7,None,5,5,5,5,5,7,3,3,1,1,1,1,1,5,1,1,5,"Honesty, Respect, Non-harm",25 - 34,Employed part-time,High school,UK,Woman,6
Yes,Very often,6,5,5,5,"Independence, Creativity, Adventure",Doing my own thing,4,5,3,6,4,4,5,2,3,Purpose / direction,3,4,4,4,4,6,6,5,5,5,4,5,6,5,5,4,6,Transparency,45 - 54,Self-employed / freelance,Bachelor’s degree,UK,Man,6
Yes,Often,6,5,4,5,"Family, Achievement / Growth, Compassion","That I am able to continually find ways to learn, grow, and develop into a fuller, more experienced person that has more to offer.",5,5,5,3,6,6,4,4,3,"Health, Relationships, Work / career, Finances, Purpose / direction",2,3,3,3,4,5,4,5,3,6,3,2,2,6,4,6,6,"Human wellbeing, Transparency, Accountability",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,4
Yes,Everyday,5,6,4,5,"Family, Honesty / Integrity, Health",My families health and happiness,6,5,5,2,6,5,3,3,4,"Finances, None",4,4,5,4,4,5,3,3,4,3,2,4,6,3,2,5,6,"Fairness, Human wellbeing, Accountability",45 - 54,Employed full time,High school,UK,Man,5
Yes,Occasionally,7,7,7,7,"Honesty / Integrity, Health, Independence",Family,7,5,5,5,4,6,1,1,1,"Digital habits, Purpose / direction",4,4,2,1,4,7,2,1,5,7,4,2,1,7,7,7,7,"Empathy, Respect, Transparency",45 - 54,Employed full time,Bachelor’s degree,UK,Woman,6
Yes,Occasionally,5,5,6,5,"Honesty / Integrity, Compassion, Adventure",feeling happy,3,2,4,3,4,6,2,3,4,"Health, Time / focus, Relationships, Finances, Purpose / direction",2,2,2,1,3,4,4,5,4,5,5,5,1,7,5,5,6,"Fairness, Responsibility, Non-harm",25 - 34,Employed full time,Some university/college,UK,Woman,3
Yes,Sometimes,6,4,5,6,"Family, Health, Independence",Family ,5,5,4,4,4,4,5,5,6,"Health, Relationships, Purpose / direction",3,3,2,2,2,5,3,5,4,5,5,6,2,6,5,5,5,"Honesty, Responsibility, Non-harm",35 - 44,Employed full time,Bachelor’s degree,UK,Man,4
Yes,Often,5,6,6,6,"Family, Security / Stability, Responsibility",Being healthy and having good family relationships,6,6,6,3,5,6,2,4,3,None,4,4,4,3,4,6,2,3,3,3,4,3,5,6,4,5,6,"Honesty, Fairness, Accountability",Over 65,Not currently working,High school,UK,Woman,6
Yes,Everyday,6,6,5,6,"Honesty / Integrity, Health, Creativity",Peace,6,6,4,4,5,5,3,5,2,"Work / career, Finances",4,4,4,3,3,6,5,5,5,5,5,6,4,5,6,4,6,"Honesty, Non-harm, Accountability",35 - 44,Employed full time,Postgraduate degree,UK,Woman,5
Yes,Everyday,7,7,6,7,"Honesty / Integrity, Achievement / Growth, Responsibility",Personal Growth,6,4,5,6,7,5,6,5,5,None,4,3,4,3,4,6,1,4,4,5,5,5,5,7,7,7,7,"Honesty, Non-harm, Transparency",35 - 44,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Everyday,5,5,6,6,"Family, Security / Stability, Health",Helping others,3,4,4,4,5,4,3,5,5,Spirituality,4,4,3,3,3,4,2,5,4,3,2,3,4,6,3,5,5,"Honesty, Fairness, Transparency",18 - 24,Self-employed / freelance,Some university/college,Canada,Man,4
Yes,Occasionally,6,6,7,6,"Family, Honesty / Integrity, Security / Stability",My close family,5,5,5,3,5,6,2,2,4,"Health, Work / career, Finances",4,4,3,3,4,6,3,3,3,3,3,2,3,6,4,6,6,"Honesty, Non-harm, Transparency",45 - 54,Employed part-time,Some university/college,UK,Woman,6
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Responsibility","a comfortable, secure existance",7,6,6,3,5,6,2,2,2,None,4,4,4,4,5,6,3,2,2,5,5,3,5,6,5,6,6,"Honesty, Fairness, Non-harm",Over 65,Not currently working,High school,UK,Man,6
Yes,Occasionally,5,6,5,6,"Family, Honesty / Integrity, Compassion",Family and relationships,6,6,6,3,7,7,1,2,3,"Digital habits, Finances",4,3,3,2,4,6,5,2,3,7,3,3,2,7,7,5,3,"Human wellbeing, Non-harm, Transparency",25 - 34,Student,Postgraduate degree,Canada,Man,6
Yes,Occasionally,7,7,5,6,"Family, Honesty / Integrity, Faith / Spirituality",Being a Muslim,6,5,7,2,5,6,2,7,7,"Time / focus, Relationships, Purpose / direction",4,2,3,4,3,6,6,6,7,6,7,7,5,2,4,2,6,"Non-harm, Transparency, Accountability",35 - 44,Not currently working,Bachelor’s degree,UK,Woman,3
Yes,Often,7,6,6,7,"Family, Compassion, Community / Contribution",What matters most to me is trying to make my small corner of the world a better place and living with compassion and empathy.,7,5,5,3,4,6,2,2,3,"Work / career, Finances",4,3,2,2,5,6,3,6,4,2,1,2,1,5,3,6,7,"Empathy, Non-harm, Accountability",55 - 65,Self-employed / freelance,Some university/college,US,Woman,5
Yes,Often,7,7,6,6,"Family, Honesty / Integrity, Fairness/Justice","That what I do is in line with who I am, and that who I am is someone that I should be. And that I treat those I love with love too, and everyone fairly, including myself. ",7,6,6,2,6,5,3,7,4,Time / focus,3,3,4,2,5,6,3,1,3,6,5,5,5,6,5,7,7,"Fairness, Respect, Human wellbeing",25 - 34,Student,Bachelor’s degree,UK,Woman,5
Yes,Everyday,6,6,6,7,"Family, Security / Stability, Health",My Family. ,3,3,4,5,3,6,2,2,2,"Work / career, Purpose / direction",3,4,3,2,3,6,5,5,2,2,2,2,2,5,3,6,6,"Honesty, Responsibility, Human wellbeing",45 - 54,Employed part-time,Bachelor’s degree,UK,Woman,5
Yes,Very often,6,5,5,6,"Honesty / Integrity, Achievement / Growth, Responsibility",Trust breeds magic,4,5,5,4,6,5,3,5,4,"Relationships, Work / career",3,3,2,3,3,4,5,3,3,7,7,7,4,4,7,6,6,"Honesty, Transparency, Accountability",35 - 44,Not currently working,Bachelor’s degree,UK,Man,4
Yes,Rarely,6,6,7,6,"Family, Honesty / Integrity, Responsibility",Being able to feel good about myself ,5,5,6,1,7,7,1,2,2,"Relationships, Work / career, Purpose / direction",4,3,4,3,4,7,2,2,1,5,4,3,1,7,7,7,7,"Honesty, Fairness, Responsibility",55 - 65,Employed full time,Bachelor’s degree,Canada,Man,6
Yes,Occasionally,5,4,6,6,"Honesty / Integrity, Compassion, Community / Contribution",Being true to myself ,4,3,1,5,3,5,2,2,2,None,4,4,2,2,3,3,3,5,2,3,3,2,1,6,7,4,4,"Fairness, Responsibility, Transparency",25 - 34,Not currently working,Some university/college,UK,Woman,4
Yes,Occasionally,5,6,6,5,"Family, Health, Compassion",Having good health,5,4,5,2,4,4,2,3,2,"Health, Work / career, Finances",3,3,2,3,3,6,4,3,2,5,4,3,4,5,4,5,5,"Honesty, Empathy, Human wellbeing",45 - 54,Employed full time,Some university/college,UK,Woman,4
Yes,Everyday,6,6,6,6,"Family, Health, Compassion",My family,6,6,4,2,5,6,2,3,4,"Health, Finances",4,4,2,2,4,6,3,2,2,4,5,3,6,4,3,5,5,"Honesty, Empathy, Transparency",45 - 54,Employed part-time,Some university/college,UK,Woman,4
Yes,Very often,6,5,7,6,"Family, Security / Stability, Faith / Spirituality",My family and my kids are the most important to me. The are my motivators and make me work harder. And my relationship with god is a big factor for my life and goals. And for the position I'm put in.,6,7,7,1,6,6,2,3,2,"Health, Time / focus, Work / career, Digital habits",4,4,5,3,5,6,4,5,2,5,3,4,5,3,7,6,5,"Honesty, Responsibility, Transparency",45 - 54,Not currently working,Some university/college,US,Woman,5
Yes,Sometimes,3,3,5,5,"Family, Honesty / Integrity, Responsibility",Being a good person,2,2,3,6,2,6,1,1,5,"Health, Relationships, Work / career",1,2,1,1,1,5,5,6,2,6,2,4,5,5,6,6,6,"Honesty, Empathy, Truth",55 - 65,Employed part-time,Postgraduate degree,UK,Man,2
Yes,Very often,5,5,6,6,"Independence, Creativity, Adventure",pleasure,6,6,6,6,6,6,6,6,7,"Work / career, Digital habits, Purpose / direction",4,4,3,3,5,5,3,4,3,5,4,4,5,5,5,6,6,"Fairness, Responsibility, Non-harm",25 - 34,Employed full time,Postgraduate degree,UK,Woman,6
Yes,Sometimes,6,5,3,6,"Compassion, Community / Contribution, Adventure",To be happy. ,4,4,5,3,5,5,2,4,4,"Time / focus, Work / career, Finances, Purpose / direction",4,4,3,3,3,5,4,2,2,5,5,5,3,5,5,4,4,"Non-harm, Transparency, Accountability",45 - 54,Employed full time,Some university/college,US,Woman,5
Yes,Everyday,6,6,5,6,"Family, Honesty / Integrity, Health",My wife and daughter.,5,5,5,6,6,5,2,4,4,Digital habits,4,3,3,3,3,4,5,5,5,5,5,5,5,4,5,6,6,"Honesty, Non-harm, Transparency",35 - 44,Employed full time,High school,UK,Man,5
Yes,Everyday,7,7,7,7,"Honesty / Integrity, Achievement / Growth, Health",Peace,7,7,7,1,7,6,1,2,2,"Relationships, Digital habits",4,4,4,4,4,7,1,1,1,3,2,2,2,7,5,6,6,"Honesty, Empathy, Human wellbeing",18 - 24,Self-employed / freelance,Some university/college,UK,Man,5
Yes,Occasionally,7,6,4,6,"Family, Honesty / Integrity, Compassion",Family,7,7,7,4,7,7,2,2,2,None,5,4,4,4,5,6,4,5,2,6,4,2,4,3,4,4,5,"Human wellbeing, Non-harm, Accountability",55 - 65,Employed full time,Some university/college,UK,Woman,6
Yes,Rarely,6,6,3,6,"Honesty / Integrity, Independence, Creativity","Freedom. To be able to be myself in every situation, no outside coercion.",1,4,1,7,4,7,1,1,1,Relationships,4,4,5,5,4,7,1,1,1,6,4,4,1,7,7,4,4,"It's humans programming it and so those people should be honest, fair and transparent - but they won't. They want to make a product and profit.",35 - 44,Employed part-time,Bachelor’s degree,UK,Man,5
Yes,Sometimes,7,7,6,7,"Family, Honesty / Integrity, Responsibility",My family and there well-being.,7,7,7,1,7,7,1,2,2,"Relationships, Digital habits",4,4,4,3,4,7,1,1,1,4,4,2,4,6,5,7,7,"Honesty, Fairness, Transparency",25 - 34,Employed full time,Some university/college,UK,Man,6
Yes,Sometimes,7,7,7,7,"Family, Honesty / Integrity, Health",My family.,5,5,5,2,6,5,2,2,3,"Digital habits, Finances",3,3,2,3,2,5,2,5,1,5,6,3,2,7,7,7,7,"Honesty, Respect, Transparency",25 - 34,Not currently working,Postgraduate degree,UK,Man,5
Yes,Occasionally,7,7,6,6,"Achievement / Growth, Security / Stability, Adventure",stability,6,3,4,1,5,4,1,2,6,"Health, Work / career, Digital habits",4,4,3,3,3,6,2,2,2,6,4,1,1,6,7,5,7,"Empathy, Non-harm, Transparency",25 - 34,Not currently working,Bachelor’s degree,US,Woman,5
Yes,Sometimes,6,6,6,6,"Family, Honesty / Integrity, Health",my family,3,3,3,2,2,5,3,5,5,Work / career,3,3,3,3,2,6,1,3,4,5,5,5,2,7,6,4,4,"Human wellbeing, Non-harm, Transparency",45 - 54,Employed full time,Postgraduate degree,US,Man,4
